PID,Lot_Area,House_Style,Overall_Qual,Overall_Cond,Year_Built,Heating_QC,Central_Air,Gr_Liv_Area,Bedroom_AbvGr,Fireplaces,Garage_Area,Mo_Sold,Yr_Sold,SalePrice,Basement_Area,Full_Bathroom,Half_Bathroom,Total_Bathroom,Deck_Porch_Area,Age_Sold,Season_Sold,Garage_Type_2,Foundation_2,Masonry_Veneer,Lot_Shape_2,House_Style2,Overall_Qual2,Overall_Cond2,Log_Price,Bonus
0527427230,5858,1Story,7,5,1999,Ex,Y,1337,2,1,511,6,2010,184000,1405,3,0,3,271,11,3,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.122691037,1
0527451180,1680,2Story,6,5,1971,TA,Y,987,2,0,264,2,2010,96000,483,1,1,1.1,275,39,1,Detached,Cinder Block,Y,Regular,2Story,6,5,11.47210347,0
0527451330,1680,2Story,5,5,1971,TA,Y,1092,3,0,320,3,2010,105500,525,1,1,1.1,0,39,2,Detached,Cinder Block,Y,Regular,2Story,5,5,11.566466232,0
0527452190,4043,1Story,6,5,1977,TA,Y,1069,2,1,440,7,2010,127500,1069,2,0,2,220,33,3,Attached,Cinder Block,N,Regular,1Story,6,5,11.755871644,0
0527453130,2280,2Story,6,6,1975,TA,Y,1456,3,1,440,6,2010,149900,855,2,1,2.1,173,35,3,Attached,Cinder Block,N,Regular,2Story,6,6,11.917723684,0
0527453150,2280,1Story,7,6,1975,Ex,Y,836,2,0,308,6,2010,120000,836,1,0,1,30,35,3,Attached,Cinder Block,N,Regular,1Story,6,6,11.695247022,0
0527454200,2280,2Story,6,5,1978,Fa,Y,1456,3,1,440,7,2010,146000,855,2,1,2.1,26,32,3,Attached,Cinder Block,N,Regular,2Story,6,5,11.891361901,0
0528181050,7132,1Story,8,5,2006,Ex,Y,1370,2,1,484,4,2010,205000,1370,2,0,2,169,4,2,Attached,Concrete/Slab,Y,Irregular,1Story,6,5,12.230765258,1
0528218150,18494,1Story,6,5,2005,Ex,Y,1324,3,0,430,1,2010,199500,1324,2,0,2,59,5,1,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.203569515,1
0528228285,3203,1Story,7,5,2006,Ex,Y,1145,2,0,437,1,2010,160000,1145,2,0,2,216,4,1,Attached,Concrete/Slab,Y,Regular,1Story,6,5,11.982929094,0
0528228440,3182,1Story,8,5,2004,Ex,Y,1269,2,1,430,4,2010,192000,1256,2,0,2,310,6,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.165250651,1
0528231020,13300,SLvl,7,5,2004,Ex,Y,1374,3,1,400,6,2010,184500,384,3,1,3.1,100,6,3,Attached,Concrete/Slab,N,Irregular,SLvl,6,5,12.125404742,1
0528250100,7750,SLvl,7,5,2000,Ex,Y,1430,3,1,400,4,2010,180000,384,2,1,2.1,180,10,2,Attached,Concrete/Slab,N,Irregular,SLvl,6,5,12.10071213,1
0528480090,10440,1Story,6,5,2005,Ex,Y,1468,2,1,528,5,2010,271500,1468,3,0,3,318,5,2,Attached,Concrete/Slab,N,Regular,1Story,6,5,12.511717418,1
0531451110,8012,1Story,6,5,1980,TA,Y,923,2,1,264,5,2010,143000,923,2,0,2,80,30,2,Attached,Cinder Block,N,Regular,1Story,6,5,11.870599909,0
0531452020,7892,1Story,6,5,1979,TA,Y,918,2,1,264,4,2010,99500,918,2,0,2,28,31,2,Attached,Cinder Block,N,Regular,1Story,6,5,11.507912923,0
0531452050,7175,1Story,6,5,1984,TA,Y,752,2,0,264,2,2010,125000,744,2,0,2,443,26,1,Attached,Cinder Block,N,Regular,1Story,6,5,11.736069016,0
0531453010,9672,1Story,6,5,1984,TA,Y,1097,3,0,480,5,2010,152000,1040,2,0,2,0,26,2,Attached,Concrete/Slab,N,Regular,1Story,6,5,11.9316358,0
0531477050,9800,1Story,5,5,1920,TA,N,1012,2,0,429,4,2010,67500,816,1,0,1,121,90,2,Detached,Brick/Tile/Stone,N,Regular,1Story,5,5,11.119882877,0
0532354090,11782,SFoyer,5,7,1961,TA,Y,1155,3,0,576,6,2010,148000,1109,2,0,2,192,49,3,Detached,Cinder Block,N,Irregular,SFoyer,5,6,11.904967553,0
0532376160,8450,1Story,5,8,1965,Ex,Y,894,3,1,336,4,2010,138500,894,2,0,2,560,45,2,Detached,Cinder Block,N,Regular,1Story,5,6,11.838625605,0
0532377060,9819,1Story,5,5,1967,TA,Y,900,3,0,280,2,2010,122000,882,1,0,1,0,43,1,Detached,Cinder Block,Y,Irregular,1Story,5,5,11.711776324,0
0532377100,7500,1Story,5,5,1963,Fa,Y,1040,3,0,308,6,2010,133000,1040,2,1,2.1,0,47,3,Attached,Cinder Block,N,Regular,1Story,5,5,11.798104407,0
0532378110,6897,1Story,5,8,1962,Ex,Y,1040,3,0,260,4,2010,127000,1040,2,1,2.1,104,48,2,Detached,Cinder Block,N,Irregular,1Story,5,6,11.751942365,0
0533205060,4835,1Story,7,5,2004,Ex,Y,1488,2,1,506,3,2010,260000,1488,3,0,3,218,6,2,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.46843691,1
0533210060,3215,2Story,7,5,2004,Ex,Y,1200,2,0,480,4,2010,155000,600,2,1,2.1,172,6,2,Detached,Concrete/Slab,Y,Regular,2Story,6,5,11.951180396,0
0533212010,3182,2Story,7,5,2004,Ex,Y,1200,2,0,480,6,2010,151000,600,2,1,2.1,172,6,3,Detached,Concrete/Slab,N,Regular,2Story,6,5,11.925035116,0
0533212020,2544,2Story,7,5,2004,Ex,Y,1200,2,0,480,2,2010,149500,600,3,1,3.1,172,6,1,Detached,Concrete/Slab,N,Regular,2Story,6,5,11.915051672,0
0533212060,2544,2Story,6,5,2005,Ex,Y,1236,2,0,480,5,2010,152000,600,3,1,3.1,166,5,2,Detached,Concrete/Slab,Y,Regular,2Story,6,5,11.9316358,0
0533223020,2572,2Story,7,5,1999,Ex,Y,1416,3,0,484,5,2010,155000,696,3,1,3.1,44,11,2,Detached,Concrete/Slab,N,Regular,2Story,6,5,11.951180396,0
0533223100,2403,2Story,7,5,2003,Ex,Y,1080,2,0,496,6,2010,147110,530,2,1,2.1,50,7,3,Attached,Concrete/Slab,N,Irregular,2Story,6,5,11.898935885,0
0533253060,4420,1Story,8,5,1980,TA,Y,788,1,1,484,6,2010,155000,728,2,0,2,175,30,3,Detached,Cinder Block,N,Irregular,1Story,6,5,11.951180396,0
0533253210,3880,1Story,8,6,1978,TA,Y,1226,1,1,484,1,2010,206000,1226,2,0,2,301,32,1,Attached,Cinder Block,N,Irregular,1Story,6,6,12.235631448,1
0533352170,13517,2Story,6,8,1976,Ex,Y,1479,3,0,475,3,2010,130500,725,2,1,2.1,44,34,2,Attached,Cinder Block,Y,Irregular,2Story,6,6,11.779128506,0
0534102025,8000,1Story,7,5,2002,Ex,Y,1492,3,1,596,4,2010,230000,1492,3,0,3,414,8,2,Attached,Concrete/Slab,N,Regular,1Story,6,5,12.345834588,1
0534176060,9360,1Story,6,7,1972,TA,Y,1381,3,1,676,3,2010,197500,1161,2,1,2.1,0,38,2,Attached,Cinder Block,N,Regular,1Story,6,6,12.193493863,1
0534202160,9600,1Story,5,5,1966,TA,Y,1232,3,0,490,4,2010,142250,1232,2,1,2.1,224,44,2,Attached,Cinder Block,Y,Regular,1Story,5,5,11.865341352,0
0534251320,9790,1Story,6,5,1963,TA,Y,1328,3,2,528,6,2010,143000,1328,2,1,2.1,26,47,3,Attached,Cinder Block,Y,Regular,1Story,6,5,11.870599909,0
0534276360,9320,1Story,4,5,1959,Fa,Y,1225,3,0,0,1,2010,128950,950,2,1,2.1,352,51,1,NA,Cinder Block,N,Irregular,1Story,4,5,11.767180011,0
0534401110,9900,1Story,5,5,1966,Gd,Y,1209,3,0,504,4,2010,159000,1209,2,0,2,0,44,2,Attached,Concrete/Slab,N,Regular,1Story,5,5,11.976659481,0
0534403410,14112,SLvl,5,7,1964,TA,Y,1152,3,1,484,4,2010,180500,1152,2,0,2,227,46,2,Attached,Concrete/Slab,Y,Irregular,SLvl,5,6,12.103486057,1
0534430080,9717,1Story,5,6,1950,Gd,Y,1078,2,0,240,4,2010,142125,1078,2,0,2,366,60,2,Attached,Cinder Block,N,Regular,1Story,5,6,11.864462231,0
0534450180,7207,1Story,5,7,1958,Gd,Y,858,2,0,0,2,2010,116500,858,2,0,2,117,52,1,NA,Cinder Block,N,Irregular,1Story,5,6,11.665646552,0
0534451150,5350,1Story,3,2,1940,Ex,Y,1306,3,0,0,5,2010,76500,728,1,0,1,263,70,2,NA,Cinder Block,N,Irregular,1Story,4,4,11.24504602,0
0534475100,9920,1Story,5,5,1954,TA,Y,1063,3,0,280,2,2010,128000,1056,2,0,2,0,56,1,Attached,Cinder Block,Y,Regular,1Story,5,5,11.759785543,0
0534479320,7800,1Story,5,6,1954,Gd,Y,1268,2,1,244,3,2010,132000,1268,1,0,1,98,56,2,Attached,Concrete/Slab,Y,Regular,1Story,5,6,11.790557202,0
0535101020,11380,SFoyer,6,8,1966,Gd,Y,1128,2,1,315,1,2010,178000,1080,2,0,2,238,44,1,Attached,Cinder Block,Y,Irregular,SFoyer,6,6,12.089538829,1
0535152050,8197,1Story,7,5,2003,Ex,Y,1480,3,0,620,2,2010,214000,1480,3,0,3,325,7,1,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.273731294,1
0535152130,8050,1Story,5,5,1959,TA,Y,1143,3,0,308,5,2010,136000,1143,2,0,2,0,51,2,Attached,Cinder Block,Y,Irregular,1Story,5,5,11.820410165,0
0535152250,8400,1Story,5,6,1957,TA,Y,1314,3,0,294,6,2010,145000,1314,2,0,2,250,53,3,Attached,Cinder Block,N,Regular,1Story,5,6,11.884489021,0
0535153070,8760,1Story,6,6,1959,TA,Y,1194,3,0,312,4,2010,148000,1194,2,0,2,0,51,2,Attached,Cinder Block,Y,Regular,1Story,6,6,11.904967553,0
0535175070,9300,1Story,5,5,1960,TA,Y,1264,3,2,461,4,2010,167500,1268,2,0,2,143,50,2,Attached,Cinder Block,Y,Regular,1Story,5,5,12.02873863,0
0535175180,10725,1Story,5,5,1959,Fa,Y,1206,3,0,312,5,2010,108538,1206,1,0,1,21,51,2,Attached,Cinder Block,Y,Irregular,1Story,5,5,11.594855621,0
0535180130,8382,1.5Fin,4,5,1956,TA,Y,1337,3,0,263,2,2010,108000,832,1,0,1,0,54,1,Attached,Cinder Block,N,Regular,1.5Fin,4,5,11.589886506,0
0535302080,10950,1Story,5,7,1952,TA,Y,1064,2,0,318,5,2010,135000,864,1,1,1.1,0,58,2,Detached,Cinder Block,N,Regular,1Story,5,6,11.813030057,0
0535302200,10895,1Story,5,6,1955,TA,Y,972,3,0,305,6,2010,122500,972,1,0,1,0,55,3,Attached,Cinder Block,N,Regular,1Story,5,6,11.715866309,0
0535325400,7898,1Story,4,7,1920,Gd,Y,985,2,0,676,4,2010,105000,576,1,1,1.1,0,90,2,Detached,Brick/Tile/Stone,N,Regular,1Story,4,6,11.561715629,0
0535327140,7200,1Story,5,7,1955,Ex,Y,827,2,1,392,4,2010,107500,0,1,0,1,0,55,2,Detached,Concrete/Slab,N,Regular,1Story,5,6,11.585246127,0
0535350030,10200,1Story,5,7,1954,Gd,Y,1086,3,0,490,5,2010,144900,1086,2,0,2,0,56,2,Attached,Cinder Block,Y,Regular,1Story,5,6,11.883799128,0
0535350040,5868,1Story,5,7,1956,Ex,Y,936,2,0,308,5,2010,129000,936,2,0,2,160,54,2,Attached,Cinder Block,N,Regular,1Story,5,6,11.767567683,0
0535377090,6979,SFoyer,6,5,1980,Gd,Y,1056,0,0,576,6,2010,144000,1056,2,0,2,320,30,3,Detached,Cinder Block,N,Regular,SFoyer,6,5,11.877568579,0
0535401080,9830,1Story,5,7,1959,Ex,Y,1287,3,1,576,3,2010,162000,1063,2,0,2,563,51,2,Detached,Cinder Block,N,Irregular,1Story,5,6,11.995351614,0
0535450210,8064,1.5Fin,6,8,1948,TA,Y,1224,3,0,280,5,2010,132000,816,2,0,2,414,62,2,Detached,Cinder Block,N,Regular,1.5Fin,6,6,11.790557202,0
0535453070,7500,1Story,5,7,1959,Ex,Y,1246,3,0,305,5,2010,154000,1246,2,1,2.1,218,51,2,Attached,Cinder Block,N,Regular,1Story,5,6,11.944707881,0
0535454070,8520,1.5Fin,5,4,1952,Fa,Y,1385,4,0,720,6,2010,166000,910,2,0,2,0,58,3,Detached,Cinder Block,N,Regular,1.5Fin,5,4,12.019743067,0
0535456110,7200,1Story,5,7,1951,TA,Y,900,3,0,576,5,2010,134800,900,1,1,1.1,254,59,2,Detached,Cinder Block,N,Regular,1Story,5,6,11.811547477,0
0535457010,10000,1Story,6,6,1962,TA,Y,1116,3,0,440,2,2010,160000,1116,1,1,1.1,385,48,1,Attached,Cinder Block,Y,Irregular,1Story,6,6,11.982929094,0
0535457090,7635,1Story,5,6,1960,Ex,Y,1175,3,0,484,6,2010,148000,1175,1,1,1.1,0,50,3,Detached,Cinder Block,N,Irregular,1Story,5,6,11.904967553,0
0535476350,9760,1Story,6,7,1963,TA,Y,1395,2,1,440,5,2010,192000,1395,2,0,2,897,47,2,Attached,Cinder Block,Y,Regular,1Story,6,6,12.165250651,1
0902104060,8800,1.5Fin,4,7,1910,Gd,Y,1140,3,0,0,6,2010,96500,576,1,0,1,160,100,3,NA,Brick/Tile/Stone,N,Regular,1.5Fin,4,6,11.477298287,0
0902106130,4485,1Story,5,7,1920,TA,Y,936,2,1,0,5,2010,109500,936,2,0,2,51,90,2,NA,Concrete/Slab,N,Regular,1Story,5,6,11.603679828,0
0902106140,8960,1Story,5,6,1927,Gd,Y,1028,2,1,360,3,2010,115000,1008,1,0,1,0,83,2,Detached,Cinder Block,N,Regular,1Story,5,6,11.652687407,0
0902110090,5805,1Story,5,7,1957,Gd,Y,1347,3,0,551,6,2010,143000,1347,2,1,2.1,0,53,3,Detached,Cinder Block,N,Regular,1Story,5,6,11.870599909,0
0902125160,4608,1Story,4,6,1945,TA,Y,747,2,0,220,6,2010,80000,747,1,0,1,0,65,3,Attached,Cinder Block,N,Regular,1Story,4,6,11.289781914,0
0902206040,5500,1.5Fin,5,7,1929,TA,Y,1316,3,0,484,4,2010,130000,926,2,0,2,0,81,2,Detached,Brick/Tile/Stone,N,Regular,1.5Fin,5,6,11.775289729,0
0902206130,6900,1.5Fin,6,7,1938,Gd,Y,1251,3,0,240,1,2010,119000,827,1,0,1,0,72,1,Detached,Concrete/Slab,N,Regular,1.5Fin,6,6,11.686878772,0
0902206240,8239,1.5Fin,5,6,1920,TA,Y,1245,3,0,315,3,2010,100000,1008,1,0,1,0,90,2,Detached,Brick/Tile/Stone,N,Regular,1.5Fin,5,6,11.512925465,0
0902207140,8520,1Story,6,8,1928,Gd,Y,720,2,0,484,5,2010,105900,624,1,0,1,106,82,2,Detached,Brick/Tile/Stone,N,Regular,1Story,6,6,11.570250532,0
0902402010,7407,1Story,6,7,1957,TA,Y,1236,2,0,923,4,2010,149700,912,2,0,2,158,53,2,Attached,Cinder Block,N,Regular,1Story,6,6,11.91638857,0
0902402130,7740,2Story,4,7,1910,Gd,Y,1363,3,0,528,6,2010,125500,622,1,0,1,168,100,3,Detached,Cinder Block,N,Regular,2Story,4,6,11.740061038,0
0902403070,10560,2Story,6,7,1922,Ex,Y,1470,2,0,624,6,2010,140750,738,1,1,1.1,0,88,3,Detached,Cinder Block,N,Regular,2Story,6,6,11.854740546,0
0903225150,5000,1Story,4,7,1925,TA,N,765,2,0,200,4,2010,87000,765,2,0,2,135,85,2,Detached,Brick/Tile/Stone,N,Regular,1Story,4,6,11.373663398,0
0903227020,6000,1.5Fin,6,6,1940,Ex,Y,1196,3,2,576,3,2010,128000,572,1,2,1.2,0,70,2,Detached,Cinder Block,N,Regular,1.5Fin,6,6,11.759785543,0
0903227150,6360,1.5Fin,5,6,1942,TA,Y,1453,3,2,240,3,2010,132000,835,1,1,1.1,148,68,2,Detached,Cinder Block,Y,Regular,1.5Fin,5,6,11.790557202,0
0903228150,6000,1.5Fin,6,7,1948,TA,Y,1416,3,0,312,3,2010,139900,780,1,1,1.1,221,62,2,Detached,Cinder Block,N,Regular,1.5Fin,6,6,11.848683161,0
0903232190,6240,1.5Fin,5,7,1936,Gd,Y,1040,2,0,624,5,2010,123900,528,1,0,1,306,74,2,Detached,Cinder Block,N,Regular,1.5Fin,5,6,11.727230068,0
0903234050,6120,1Story,6,5,1923,TA,Y,1068,2,1,288,3,2010,109500,1124,2,0,2,0,87,2,Detached,Brick/Tile/Stone,N,Regular,1Story,6,5,11.603679828,0
0903430080,3068,2Story,6,8,1920,Ex,Y,1324,3,0,180,2,2010,122000,662,1,1,1.1,0,90,1,Detached,Brick/Tile/Stone,N,Regular,2Story,6,6,11.711776324,0
0903450110,8472,1Story,5,5,1963,TA,N,816,2,0,516,5,2010,110000,816,2,0,2,106,47,2,,Cinder Block,N,Irregular,1Story,5,5,11.608235645,0
0903454060,5600,2Story,4,5,1930,Fa,N,1092,3,0,0,7,2010,55000,0,2,0,2,0,80,3,NA,Concrete/Slab,N,Regular,2Story,4,5,10.915088464,0
0904300150,10632,1.5Fin,5,3,1917,Gd,N,1224,3,0,180,1,2010,107500,689,1,1,1.1,0,93,1,Detached,Brick/Tile/Stone,N,Irregular,1.5Fin,5,4,11.585246127,0
0904302260,9900,1.5Fin,5,4,1915,TA,N,1392,3,0,0,2,2010,100000,1212,2,0,2,0,95,1,NA,Brick/Tile/Stone,N,Regular,1.5Fin,5,4,11.512925465,0
0904350045,6001,1.5Fin,6,5,1940,Ex,N,919,3,0,231,3,2010,95000,600,1,0,1,0,70,2,Detached,Cinder Block,N,Irregular,1.5Fin,6,5,11.461632171,0
0905101100,6342,1.5Fin,5,8,1875,Gd,N,1020,2,0,0,5,2010,94000,780,1,0,1,0,135,2,NA,Cinder Block,N,Regular,1.5Fin,5,6,11.451050061,0
0905102060,11625,1Story,5,4,1965,Ex,Y,1039,3,0,504,4,2010,131500,1039,2,1,2.1,0,45,2,Attached,Concrete/Slab,N,Regular,1Story,5,4,11.786762131,0
0905103060,11341,1Story,5,6,1957,TA,Y,1392,3,1,528,5,2010,121500,1392,2,1,2.1,95,53,2,Detached,Cinder Block,Y,Irregular,1Story,5,6,11.707669542,0
0905104210,8521,1Story,5,5,1967,TA,Y,912,3,1,336,5,2010,125000,912,1,0,1,0,43,2,Detached,Cinder Block,N,Regular,1Story,5,5,11.736069016,0
0905105070,8246,1Story,5,8,1968,Ex,Y,1060,3,1,270,5,2010,154000,1060,2,0,2,496,42,2,Attached,Cinder Block,N,Irregular,1Story,5,6,11.944707881,0
0905105200,7800,1Story,5,7,1966,Ex,Y,892,3,0,416,6,2010,137900,864,2,0,2,0,44,3,Detached,Cinder Block,Y,Regular,1Story,5,6,11.834284064,0
0905106140,9364,2Story,6,7,1969,TA,Y,1352,4,0,299,3,2010,158000,663,1,1,1.1,415,41,2,Attached,Cinder Block,Y,Regular,2Story,6,6,11.970350312,0
0905106170,7832,1Story,5,5,1968,Ex,Y,864,2,0,280,5,2010,137250,864,2,0,2,226,42,2,Detached,Cinder Block,N,Regular,1Story,5,5,11.829559359,0
0905107110,7424,SFoyer,5,5,1978,TA,Y,1373,3,2,591,5,2010,160250,1319,2,0,2,0,32,2,Attached,Cinder Block,N,Irregular,SFoyer,5,5,11.984490375,0
0905107250,11227,2Story,5,5,1968,Ex,Y,1440,4,2,480,3,2010,163000,720,1,1,1.1,230,42,2,Attached,Cinder Block,N,Regular,2Story,5,5,12.00150548,0
0905109170,20062,1Story,7,7,1977,Gd,Y,1483,1,2,690,4,2010,270000,1420,2,1,2.1,496,33,2,Attached,Cinder Block,N,Irregular,1Story,6,6,12.506177238,1
0905201030,9259,1Story,4,4,1927,TA,N,756,2,0,440,6,2010,85000,660,1,0,1,80,83,3,Detached,Brick/Tile/Stone,N,Regular,1Story,4,4,11.350406535,0
0905202090,9600,1Story,4,7,1950,TA,Y,1067,2,0,436,2,2010,128000,1067,2,0,2,290,60,1,Attached,Cinder Block,N,Regular,1Story,4,6,11.759785543,0
0905426200,11479,1Story,6,7,1950,Ex,Y,1074,3,1,467,6,2010,144500,663,2,0,2,52,60,3,Attached,Cinder Block,N,Regular,1Story,6,6,11.881034787,0
0905451320,9571,1Story,5,6,1956,TA,Y,1144,3,0,596,6,2010,129000,1144,2,0,2,44,54,3,Attached,Cinder Block,N,Regular,1Story,5,6,11.767567683,0
0905452160,9525,1Story,5,7,1954,TA,Y,1172,3,0,366,6,2010,128000,1172,2,0,2,240,56,3,Attached,Cinder Block,N,Regular,1Story,5,6,11.759785543,0
0905453040,10420,1Story,6,5,2009,Ex,Y,1212,3,0,460,3,2010,186000,1212,2,0,2,122,1,2,Attached,Concrete/Slab,N,Regular,1Story,6,5,12.133501953,1
0905475510,11200,1Story,5,3,1964,Ex,Y,1298,3,0,504,6,2010,114000,1250,2,0,2,144,46,3,Detached,Cinder Block,N,Irregular,1Story,5,4,11.643953727,0
0906201120,11980,1Story,7,5,1987,Ex,Y,1433,1,2,528,6,2010,270000,1433,2,1,2.1,544,23,3,Attached,Cinder Block,Y,Regular,1Story,6,5,12.506177238,1
0906225210,9069,SFoyer,6,6,1992,Ex,Y,996,2,0,564,4,2010,147000,936,2,0,2,120,18,2,Attached,Concrete/Slab,N,Regular,SFoyer,6,6,11.898187866,0
0906380190,6762,1Story,7,5,2006,Ex,Y,1208,2,0,632,2,2010,206000,1187,3,0,3,166,4,1,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.235631448,1
0906385010,10402,1Story,7,5,2009,Ex,Y,1226,3,0,740,5,2010,198900,1226,2,0,2,36,1,2,Attached,Concrete/Slab,N,Irregular,1Story,6,5,12.200557465,1
0906385020,7360,1Story,7,5,2010,Ex,Y,1222,2,0,615,3,2010,187000,1222,2,0,2,54,0,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.138863896,1
0906425045,14235,1.5Fin,6,8,1900,TA,Y,1445,3,0,484,3,2010,138500,676,2,0,2,59,110,2,Detached,Concrete/Slab,N,Irregular,1.5Fin,6,6,11.838625605,0
0906477110,8816,SLvl,6,7,1971,Gd,Y,1052,3,0,440,6,2010,155000,1010,2,0,2,0,39,3,Attached,Cinder Block,Y,Regular,SLvl,6,6,11.951180396,0
0907125090,11105,SFoyer,5,5,1996,Gd,Y,965,2,0,580,7,2010,159000,870,2,0,2,71,14,3,Attached,Concrete/Slab,N,Regular,SFoyer,5,5,11.976659481,0
0907200280,15240,1Story,5,8,1977,Ex,Y,1026,3,0,308,6,2010,150000,1026,2,1,2.1,401,33,3,Attached,Cinder Block,N,Irregular,1Story,5,6,11.918390573,0
0907200290,10900,2Story,6,7,1977,Ex,Y,1392,3,0,299,3,2010,161750,689,1,1,1.1,36,33,2,Attached,Cinder Block,Y,Irregular,2Story,6,6,11.993807212,0
0907200340,10650,1Story,5,6,1976,TA,Y,894,3,0,308,2,2010,128200,894,2,0,2,365,34,1,Attached,Cinder Block,N,Regular,1Story,5,6,11.761346823,0
0907203070,7480,1Story,5,6,1972,TA,Y,876,3,0,484,6,2010,127000,876,2,0,2,0,38,3,Detached,Cinder Block,N,Regular,1Story,5,6,11.751942365,0
0907290170,4435,1Story,6,5,2003,Ex,Y,848,1,0,420,4,2010,143750,848,2,0,2,140,7,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,11.875830959,0
0907290240,4426,1Story,6,5,2004,Ex,Y,848,1,0,420,5,2010,143000,848,2,0,2,160,6,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,11.870599909,0
0907410080,8400,1Story,7,5,2004,Ex,Y,1484,3,0,606,5,2010,213000,1473,3,0,3,179,6,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.269047445,1
0907414030,8773,1Story,7,5,2004,Ex,Y,1414,3,0,494,5,2010,185500,1414,2,0,2,237,6,2,Attached,Concrete/Slab,Y,Regular,1Story,6,5,12.130810161,1
0908102060,8777,1Story,3,6,1945,TA,N,640,2,0,240,4,2010,84900,0,1,0,1,0,65,2,Detached,Cinder Block,N,Regular,1Story,4,6,11.349229372,0
0908102170,10044,1Story,5,6,1968,TA,Y,1196,3,0,336,6,2010,144000,1196,2,0,2,257,42,3,Attached,Cinder Block,N,Irregular,1Story,5,6,11.877568579,0
0908103350,6305,SLvl,6,6,1975,TA,Y,1096,3,1,352,6,2010,125200,1008,2,0,2,0,35,3,Detached,Cinder Block,N,Regular,SLvl,6,6,11.737667738,0
0908203100,6410,1Story,4,5,1958,Ex,Y,960,3,0,0,5,2010,90000,960,1,0,1,0,52,2,NA,Cinder Block,N,Regular,1Story,4,5,11.407564949,0
0908208020,8546,1Story,4,5,2003,Ex,Y,1121,2,0,440,3,2010,140000,1121,2,0,2,196,7,2,Attached,Concrete/Slab,N,Regular,1Story,4,5,11.849397702,0
